,DateValue,Num_Pes_Designate,PesAdmitted
823,4/3/2020,9,3
824,4/4/2020,13,2
825,4/5/2020,11,2
826,4/6/2020,10,5
827,4/7/2020,14,1
828,4/8/2020,11,5
829,4/9/2020,11,3
830,4/10/2020,11,5
831,4/11/2020,10,1
832,4/12/2020,14,3
833,4/13/2020,10,2
834,4/14/2020,10,5
835,4/15/2020,10,2
836,4/16/2020,10,1
837,4/17/2020,12,1
838,4/18/2020,15,5
839,4/19/2020,11,3
840,4/20/2020,10,4
841,4/21/2020,14,1
842,4/22/2020,12,4
843,4/23/2020,8,3
844,4/24/2020,14,3
845,4/25/2020,15,2
846,4/26/2020,12,2
847,4/27/2020,14,5
848,4/28/2020,15,6
849,4/29/2020,10,4
850,4/30/2020,12,1
851,5/1/2020,10,4
852,5/2/2020,17,7
853,5/3/2020,12,3
854,5/4/2020,11,4
855,5/5/2020,12,1
856,5/6/2020,16,3
857,5/7/2020,9,3
858,5/8/2020,16,3
859,5/9/2020,9,4
860,5/10/2020,10,2
861,5/11/2020,12,3
862,5/12/2020,13,2
863,5/13/2020,13,7
864,5/14/2020,11,0
865,5/15/2020,19,6
866,5/16/2020,12,5
867,5/17/2020,6,0
868,5/18/2020,11,2
869,5/19/2020,13,7
870,5/20/2020,12,4
871,5/21/2020,13,4
872,5/22/2020,12,4
873,5/23/2020,10,3
874,5/24/2020,14,0
875,5/25/2020,11,5
876,5/26/2020,14,5
877,5/27/2020,10,4
878,5/28/2020,13,5
879,5/29/2020,15,4
880,5/30/2020,12,3
881,5/31/2020,13,3
882,6/1/2020,12,4
883,6/2/2020,9,2
884,6/3/2020,15,8
885,6/4/2020,16,2
886,6/5/2020,22,3
887,6/6/2020,8,1
888,6/7/2020,13,3
889,6/8/2020,16,6
890,6/9/2020,15,6
891,6/10/2020,11,5
892,6/11/2020,18,6
893,6/12/2020,11,4
894,6/13/2020,9,3
895,6/14/2020,13,5
896,6/15/2020,9,1
897,6/16/2020,14,5
898,6/17/2020,10,2
899,6/18/2020,9,2
900,6/19/2020,16,6
901,6/20/2020,15,1
902,6/21/2020,13,2
903,6/22/2020,11,4
904,6/23/2020,10,6
905,6/24/2020,13,4
906,6/25/2020,16,5
907,6/26/2020,10,2
908,6/27/2020,14,3
909,6/28/2020,7,3
910,6/29/2020,17,5
911,6/30/2020,11,1
912,7/1/2020,12,4
913,7/2/2020,19,7
914,7/3/2020,7,1
915,7/4/2020,11,2
916,7/5/2020,13,2
917,7/6/2020,10,2
918,7/7/2020,14,1
919,7/8/2020,8,3
920,7/9/2020,16,6
921,7/10/2020,17,4
922,7/11/2020,15,3
923,7/12/2020,13,3
924,7/13/2020,9,5
925,7/14/2020,17,5
926,7/15/2020,15,2
927,7/16/2020,9,4
928,7/17/2020,14,2
929,7/18/2020,16,0
930,7/19/2020,15,3
931,7/20/2020,11,3
932,7/21/2020,10,1
933,7/22/2020,10,1
934,7/23/2020,11,2
935,7/24/2020,13,4
936,7/25/2020,8,0
937,7/26/2020,14,2
938,7/27/2020,9,4
939,7/28/2020,11,5
940,7/29/2020,4,0
941,7/30/2020,12,3
942,7/31/2020,11,4
943,8/1/2020,10,0
944,8/2/2020,11,0
945,8/3/2020,13,5
946,8/4/2020,12,2
947,8/5/2020,6,2
948,8/6/2020,13,4
949,8/7/2020,13,3
950,8/8/2020,14,3
951,8/9/2020,15,3
952,8/10/2020,14,2
953,8/11/2020,14,4
954,8/12/2020,17,5
955,8/13/2020,13,0
956,8/14/2020,17,2
957,8/15/2020,13,2
958,8/16/2020,12,2
959,8/17/2020,15,5
960,8/18/2020,17,6
961,8/19/2020,14,5
962,8/20/2020,19,2
963,8/21/2020,17,5
964,8/22/2020,16,4
965,8/23/2020,10,3
966,8/24/2020,18,1
967,8/25/2020,15,3
968,8/26/2020,17,5
969,8/27/2020,13,2
970,8/28/2020,10,3
971,8/29/2020,19,2
972,8/30/2020,11,1
973,8/31/2020,14,5
974,9/1/2020,13,3
975,9/2/2020,17,3
976,9/3/2020,12,1
977,9/4/2020,19,6
978,9/5/2020,13,1
979,9/6/2020,16,4
980,9/7/2020,16,6
981,9/8/2020,15,4
982,9/9/2020,14,2
983,9/10/2020,20,0
984,9/11/2020,18,3
985,9/12/2020,9,1
986,9/13/2020,11,2
987,9/14/2020,12,4
988,9/15/2020,20,2
989,9/16/2020,17,2
990,9/17/2020,18,3
991,9/18/2020,12,4
992,9/19/2020,15,2
993,9/20/2020,12,3
994,9/21/2020,13,1
